
Srei-Vendor Aging                       ,       267.4                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Srei-Vendor Aging                       ,      259.82                                                                                                                                                                                                                                                                                                                                                                                                                                                               
YY_GL_ACCOUNT_ANALYSIS_CSV_PRC          ,      119.48                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Daily Balance Avg Utilisation      ,       49.68                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Daily Balance Avg Utilisation      ,       17.22                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Daily Balance Avg Utilisation      ,       16.85                                                                                                                                                                                                                                                                                                                                                                                                                                                               
YY : GL Account Analysis Data Import Pro,        1.33                                                                                                                                                                                                                                                                                                                                                                                                                                                               
gram (Scheduled)                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Create Accounting - Assets              ,         .58                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Accounting Program                      ,         .45                                                                                                                                                                                                                                                                                                                                                                                                                                                               
