
Srei-Vendor Aging                       ,       387.4                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Daily Balance Avg Utilisation      ,       102.3                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSREI GL Account Analysis Report       ,       10.12                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSREI GL Account Analysis Report       ,        7.03                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSREI GL Account Analysis Report       ,        3.15                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,        2.88                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,        2.85                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,        2.67                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,        2.65                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,        2.62                                                                                                                                                                                                                                                                                                                                                                                                                                                               
India - TDS Approval                    ,         2.6                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Payables Open Interface Import          ,         2.1                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Payables Open Interface Import          ,        2.05                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Payables Open Interface Import          ,        1.88                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Payables Open Interface Import          ,        1.85                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Employee Exit Checklist Creation Program,           0                                                                                                                                                                                                                                                                                                                                                                                                                                                               
